IncidentID,Case Number,DateID,CrimeTypeID,LocationID,Arrest,Domestic,Location Description Encoded
9616977,HX267101,312812,16,491708,False,False,109
8852401,HV525411,132662,26,246441,False,False,125
8490272,HV167604,51202,1,91223,False,True,135
9549066,HX199712,296451,59,97560,False,False,17
9898463,HX548647,380534,5,569393,False,False,125
10701955,HZ457804,573199,8,12793,False,False,125
9814515,HX463676,360140,7,29322,False,False,113
9214633,HW360948,218233,1,146530,False,True,109
10467015,HZ206170,512055,16,255074,False,True,109
8590668,HV264933,73791,16,136121,False,False,109
9186007,HW330984,211295,1,362557,True,True,17
9490921,HX145239,283289,37,104911,False,False,17
10489188,HZ230054,490572,13,671470,False,False,17
10805376,JA104492,605133,21,759089,False,False,101
10362566,HY554385,481370,1,359020,False,True,125
10618692,HZ371876,550267,4,22034,True,False,72
9046060,HW191219,177954,6,309242,True,False,125
9476736,HX130303,279895,4,390205,False,True,125
21150,HW520740,521929,42,692535,False,False,125
10758092,HZ521352,590729,43,413238,False,False,125
9969830,HY159487,26705,4,45259,False,False,125
10736003,HZ495890,583839,55,184338,True,True,32
8833419,HV505658,123510,3,102782,False,False,121
10643582,HZ385191,555291,121,21419,False,False,57
9805125,HX447124,356143,10,545259,False,False,125
9915063,HY104695,14093,4,22542,False,False,110
10232700,HY420602,442900,27,92549,True,True,112
9462504,HX115294,271231,4,289969,False,False,109
9090445,HW234998,188624,3,38325,False,False,119
9668814,HX318807,325118,39,398187,True,False,121
8871013,HV544662,137142,16,253999,True,False,0
10756206,HZ518913,590118,11,6788,False,False,119
8538168,HV214930,62171,21,112974,False,False,125
9384033,HW527208,257436,90,7892,True,False,56
9170695,HW315300,170101,32,194652,False,False,109
8938563,HV610023,149224,10,278373,False,False,112
9084490,HW228781,187139,7,327572,False,False,118
9026948,HW174101,172337,7,40043,False,False,113
10440549,HZ179286,503867,4,680398,False,False,135
8798822,HV463614,120486,92,126807,True,False,121
9167378,HW312858,206838,77,356314,False,False,62
8496484,HV173854,52755,90,64673,True,False,52
10009607,HY198952,34250,21,576317,False,False,125
10643867,HZ395267,556134,1,720578,False,True,121
9545592,HX198205,295826,4,472095,True,False,60
10211970,HY398478,436461,16,39975,False,False,17
9489590,HX143171,278970,37,435265,False,True,17
8612011,HV285972,78540,19,145126,False,False,109
8541105,HV216788,62670,4,114058,False,False,15
8490134,HV167400,51198,16,91133,False,False,109
10225788,HY413052,440799,44,551523,False,True,110
9789116,HX438526,354042,27,486973,False,False,122
8502915,HV179752,54164,16,96855,False,False,17
9064407,HW209178,182332,8,320784,False,False,135
10426770,HZ164512,499441,78,520105,True,False,121
8695122,HV368769,96828,3,182547,False,False,110
9038058,HW184061,176198,196,17132,True,False,125
10539441,HZ284249,10872,11,10904,False,True,125
8928287,HV600093,147703,8,274691,False,False,99
8537712,HV214607,62205,6,112861,True,False,17
10768466,HZ533713,594212,26,43807,False,False,17
10000867,HY190338,384836,71,16250,True,False,119
8562866,HV237911,67571,1,123740,True,True,17
10255766,HY443399,449148,22,3012,True,False,60
9305059,HW449512,239184,1,318753,False,True,17
10559738,HZ306783,531628,4,699909,False,False,125
8771758,HV446064,114275,17,213725,False,True,109
10428819,HZ162268,498229,4,461057,False,False,125
10411272,HZ148052,493747,32,482770,False,False,109
8854988,HV528575,133398,26,247763,False,False,99
9868491,HX518463,373259,1,562130,False,True,121
9672878,HX322868,323757,32,451023,False,False,17
9499095,HX154108,285360,90,6123,True,False,53
9575805,HX226387,302195,35,430474,False,False,125
10085615,HY274798,405862,1,204205,False,True,121
10216220,HY402732,437934,158,628080,True,False,125
9718748,HX368177,337044,21,520890,False,False,125
8756245,HV428075,110935,8,105977,False,False,125
10281043,HY469126,456469,84,644168,False,False,125
10206153,HY393117,435229,8,625579,False,False,121
10218673,HY405223,438681,3,522533,True,False,50
9982007,HY171614,29940,50,49941,True,False,125
9355614,HW499044,250786,22,5419,False,False,122
10041154,HY229633,21894,23,584398,False,True,109
9776963,HX426851,350896,8,169095,False,False,121
8735293,HV410893,106369,32,199887,False,False,111
10038286,HY228034,394442,1,312220,False,True,17
9378642,HW521856,247406,32,186925,False,False,109
8787700,HV461187,117721,4,25485,False,False,80
9695262,HX345734,331458,16,514091,False,False,98
9017651,HW164736,171134,37,306105,False,True,109
9495192,HX148396,283534,10,459417,False,False,125
9850240,HX498794,368233,7,557110,False,False,110
8626239,HV299479,81567,25,2523,False,False,119
9196355,HW341645,213805,3,155163,False,False,109
9615731,HX265467,312376,169,7695,True,False,121
8657798,HV332959,88905,19,60861,False,True,96
9609081,HX259455,309753,268,359517,False,False,109
9214288,HW360544,218155,143,372847,False,True,109
8611510,HV285499,77199,32,144981,False,False,17
10343898,HY534831,475417,19,659304,False,False,17
